ep,task_id,fbeta,spec,reason,total,valid_json,non_empty_findings,has_table_id,has_str_table_value,ts
305,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777164295.25
306,claim_evidence_audit,0.4837,1.0,0.5224,0.5708,1,1,1,1,1777164295.25
307,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777164295.25
308,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164295.25
309,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164295.25
310,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164295.25
311,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164295.25
312,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164295.25
313,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777164295.25
314,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777164295.26
315,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,0,0,0,0,1777164295.26
316,claim_evidence_audit,0.4935,1.0,0.4841,0.5671,1,1,1,1,1777164295.26
317,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777164295.26
318,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164295.26
319,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164295.26
320,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164295.26
321,claim_evidence_audit,0.0001,0.0001,0.2776,0.0695,1,1,1,1,1777164342.21
322,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164342.21
323,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164342.21
324,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164342.21
325,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164342.21
326,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164342.21
327,claim_evidence_audit,0.55,1.0,0.5822,0.6256,1,1,1,1,1777164342.22
328,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164342.22
329,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164342.22
330,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164342.22
331,claim_evidence_audit,0.7567,1.0,0.6223,0.7596,1,1,1,1,1777164342.22
332,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164342.22
333,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777164342.22
334,claim_evidence_audit,0.4935,1.0,0.4841,0.5671,1,1,1,1,1777164342.22
335,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777164342.22
336,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,1,1,1,1,1777164342.22
337,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164444.96
338,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164444.96
339,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,0,0,0,0,1777164444.96
340,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164444.96
341,claim_evidence_audit,0.8112,1.0,0.7377,0.8211,1,1,1,1,1777164444.96
342,claim_evidence_audit,0.9,1.0,0.7672,0.8818,1,1,1,1,1777164444.96
343,claim_evidence_audit,0.6136,1.0,0.6019,0.6686,1,1,1,1,1777164444.96
344,claim_evidence_audit,0.0001,0.0001,0.2476,0.062,1,1,0,1,1777164444.96
345,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164444.96
346,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777164444.96
347,claim_evidence_audit,0.4758,1.0,0.4748,0.5542,1,1,1,1,1777164444.96
348,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164444.96
349,claim_evidence_audit,0.9,1.0,0.7672,0.8818,1,1,1,1,1777164444.96
350,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164444.96
351,claim_evidence_audit,0.0001,0.0001,0.2308,0.0578,0,0,0,0,1777164444.96
352,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164444.96
353,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164490.19
354,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164490.19
355,claim_evidence_audit,0.0001,0.0001,0.2476,0.062,1,1,1,1,1777164490.19
356,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164490.19
357,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164490.19
358,claim_evidence_audit,0.7739,1.0,0.7155,0.7932,1,1,1,1,1777164490.19
359,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164490.19
360,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164490.19
361,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164490.19
362,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164490.19
363,claim_evidence_audit,0.9,1.0,0.8602,0.9051,1,1,1,1,1777164490.19
364,claim_evidence_audit,0.758,1.0,0.7683,0.7969,1,1,1,1,1777164490.19
365,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777164490.19
366,claim_evidence_audit,0.6136,1.0,0.5471,0.6549,1,1,1,1,1777164490.19
367,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164490.19
368,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164490.19
369,claim_evidence_audit,0.0001,0.0001,0.2476,0.062,1,1,1,1,1777164551.88
370,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164551.88
371,claim_evidence_audit,0.7366,1.0,0.6933,0.7653,1,1,1,1,1777164551.88
372,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164551.88
373,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777164551.88
374,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777164551.88
375,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164551.88
376,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777164551.88
377,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164551.88
378,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777164551.88
379,claim_evidence_audit,0.8417,1.0,0.8225,0.8606,1,1,1,1,1777164551.88
380,claim_evidence_audit,0.9,1.0,0.8602,0.9051,1,1,1,1,1777164551.88
381,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164551.88
382,claim_evidence_audit,0.9,1.0,0.6742,0.8586,1,1,1,1,1777164551.88
383,claim_evidence_audit,0.7,0.0001,0.5925,0.5681,1,1,1,0,1777164551.88
384,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164551.88
385,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164636.43
386,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,0,0,0,0,1777164636.43
387,claim_evidence_audit,0.9,1.0,0.8602,0.9051,1,1,1,1,1777164636.43
388,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164636.44
389,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164636.44
390,claim_evidence_audit,0.7398,1.0,0.6134,0.7472,1,1,1,1,1777164636.44
391,claim_evidence_audit,0.0001,0.0001,0.21,0.0526,0,0,0,0,1777164636.44
392,claim_evidence_audit,0.9,1.0,0.7812,0.8853,1,1,1,1,1777164636.44
393,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164636.44
394,claim_evidence_audit,0.5878,1.0,0.6581,0.6672,1,1,1,1,1777164636.44
395,claim_evidence_audit,0.6347,1.0,0.6326,0.689,1,1,1,1,1777164636.44
396,claim_evidence_audit,0.7353,1.0,0.6721,0.7592,1,1,1,1,1777164636.44
397,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164636.44
398,claim_evidence_audit,0.7366,1.0,0.6933,0.7653,1,1,1,1,1777164636.44
399,claim_evidence_audit,0.5654,1.0,0.5218,0.6197,1,1,1,1,1777164636.44
400,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164636.44
401,claim_evidence_audit,0.0001,0.0001,0.2476,0.062,1,1,1,1,1777164723.69
402,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777164723.7
403,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164723.7
404,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777164723.7
405,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164723.7
406,claim_evidence_audit,0.0001,0.0001,0.1809,0.0453,0,0,0,0,1777164723.7
407,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164723.7
408,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777164723.7
409,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,0,0,0,0,1777164723.7
410,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777164723.7
411,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777164723.7
412,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777164723.7
413,claim_evidence_audit,0.7,0.0001,0.5925,0.5681,1,1,1,0,1777164723.7
414,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164723.7
415,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164723.7
416,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777164723.7
